date,revenue,country,facebook,google,bing,other
2022-01-01,,US,408.15,1282.49,118.2,378.06
2022-01-02,,US,737.46,1371.64,111.93,382.77
2022-01-03,,US,615.6,1174.87,90.2,330.99
2022-01-04,,US,484.5,1106.01,121.72,361.3
2022-01-05,,US,466.81,927.43,104.9,305.33
2022-01-06,,US,417.43,997.69,106.88,397.28
2022-01-07,,US,396.89,964.6,91.1,366.84
2022-01-08,,US,436.84,1077.91,117.48,519.39
2022-01-09,,US,468.41,1116.89,75.2,503.55
2022-01-10,,US,338.04,897.47,54.41,447.05
2022-01-11,,US,299.84,731.57,77.86,467.73
2022-01-12,,US,265.27,700.43,80.92,375.93
2022-01-13,,US,254.49,606.4,96.57,414.72
2022-01-14,,US,249.33,488.6,65.34,362.04
2022-01-15,,US,284.69,699.84,65.74,509.05
2022-01-16,,US,317.12,786.21,96.08,519.9
2022-01-17,,US,318.38,790.67,128.93,664.36
2022-01-18,,US,301.76,833.22,117.49,639.13
2022-01-19,,US,316.57,699.24,197.42,644.95
2022-01-20,,US,348.42,632.86,140.25,769.93
2022-01-21,,US,404.66,703.39,139.53,841.06
2022-01-22,,US,447.81,814.53,70.71,720.38
2022-01-23,,US,614.23,782.29,92.39,869.01
2022-01-24,,US,501.39,651.25,100.88,943.94
2022-01-25,,US,341.67,839.53,95.9,906.11
2022-01-26,,US,436.59,834.33,90.15,935.42
2022-01-27,,US,435.12,843.31,143.04,912.7
2022-01-28,,US,486,1035.52,109.69,1086.76
2022-01-29,,US,647.19,1131.17,162.32,1218.88
2022-01-30,,US,780.98,1260.69,196,1073.1
2022-01-31,,US,627.19,1088.89,174.63,1227.67
2022-02-01,,US,682.37,1311.85,74.86,987.84
2022-02-02,,US,804.05,1356.69,143.94,1182.57
2022-02-03,,US,818.99,1749.99,148.6,1124.21
2022-02-04,,US,724.44,6780.01,103.64,788.84
2022-02-05,,US,685.79,7111.71,111.65,786.3
2022-02-06,,US,720.96,2283.46,132.45,866.6
2022-02-07,,US,558.94,2128.6,123.74,888.51
2022-02-08,,US,486.27,1370.06,283.55,1045.34
2022-02-09,,US,596.32,1258.47,201.39,769.2
2022-02-10,,US,755.57,906.58,143.57,546.45
2022-02-11,,US,707.69,888.85,134.48,544.08
2022-02-12,,US,589.83,1022.17,38.11,391.9
2022-02-13,,US,517.88,1398.3,115.48,492.52
2022-02-14,,US,454.74,1462.52,170.61,581.43
2022-02-15,,US,408.48,886.91,95.16,545.61
2022-02-16,,US,396.66,601.96,68.96,448.32
2022-02-17,,US,398.98,747.76,99.34,701.15
2022-02-18,,US,350.32,738.05,71.03,667.34
2022-02-19,,US,348.55,876.91,43.85,518
2022-02-20,,US,311.15,833.48,24.44,537.67
2022-02-21,,US,225.03,900.66,72.99,647.07
2022-02-22,,US,222.68,873.79,33.89,503.09
2022-02-23,,US,262.7,786.16,24.09,650.45
2022-02-24,,US,184.99,819.06,51.28,559.23
2022-02-25,,US,178.48,1219.45,58.81,490.1
2022-02-26,,US,179.21,916.06,46.03,588.25
2022-02-27,,US,182.18,748.15,33.33,525.17
2022-02-28,,US,175.91,541.78,63.94,566.52
2022-03-01,,US,193.71,468.35,21.98,472.22
2022-03-02,,US,179.74,367.71,149.5,644.56
2022-03-03,,US,221.98,305.72,32.42,255.43
2022-03-04,,US,246.8,272.85,38.96,300.57
2022-03-05,,US,263.03,301.13,102.95,440.47
2022-03-06,,US,285.25,376.26,73.98,414.47
2022-03-07,,US,371.3,424,37.76,330.34
2022-03-08,,US,434.48,395.39,51.96,344.97
2022-03-09,,US,316.36,552.18,80.66,393.15
2022-03-10,,US,290.96,526.63,251.14,701.54
2022-03-11,,US,352.91,405.94,16.07,388.5
2022-03-12,,US,414.04,474.55,22.76,450.04
2022-03-13,,US,354.39,456.23,6.9,373.37
2022-03-14,,US,277.34,375.1,11.85,344.34
2022-03-15,,US,353.45,399.46,16.55,392.42
2022-03-16,,US,427.04,389.31,20.05,556.91
2022-03-17,,US,465.96,362.56,16.61,606
2022-03-18,,US,677.31,428.26,19.01,436.46
2022-03-19,,US,804.2,403.14,16.29,414.22
2022-03-20,,US,837.36,621.06,14.5,444.14
2022-03-21,,US,770.47,760.45,19.1,357.46
2022-03-22,,US,657.78,795.56,18.32,316.6
2022-03-23,,US,798.31,434.77,19.56,312.06
2022-03-24,,US,777.31,442.61,26.48,347.55
2022-03-25,,US,834.04,363.22,35.12,330.25
2022-03-26,,US,961.72,360.47,14.25,307.59
2022-03-27,,US,953.49,434.71,9.73,331.87
2022-03-28,,US,765.22,499.34,28.25,349.23
2022-03-29,,US,680.35,584.49,35.06,353.01
2022-03-30,,US,787.34,578.4,19.32,363.27
2022-03-31,,US,656.03,508.38,25.5,431.62
