date,revenue,country,facebook,google,bing,other
2020-01-01,1481.15,US,856.15,215.15,96.76,234.23
2020-01-02,1229.79,US,702.62,186.18,104.4,369.98
2020-01-03,603.35,US,377.12,140.59,125.48,405.97
2020-01-04,1006.44,US,562.52,173.2,158.26,453.54
2020-01-05,902.01,US,517.65,191.38,90.45,486.53
2020-01-06,577.37,US,300.72,128.23,89.75,452.42
2020-01-07,598.65,US,386.64,144.49,74.74,325.54
2020-01-08,582.57,US,408.42,185.45,102.38,354.73
2020-01-09,515.87,US,311.9,164.66,89.47,237.06
2020-01-10,797.8,US,589.21,139.5,106.83,226.39
2020-01-11,1395.06,US,879.36,181.76,107.18,227.72
2020-01-12,1389.27,US,849.19,247.49,91.03,222.31
2020-01-13,879.91,US,505.12,206.17,105.98,217.99
2020-01-14,588.23,US,393.71,160.56,114.72,242.17
2020-01-15,588.69,US,366.15,168.42,107.28,210.76
2020-01-16,401.76,US,298.5,159.33,105.64,223.82
2020-01-17,534.57,US,319.48,140.36,109.58,233.27
2020-01-18,701.71,US,523.43,130.04,92.74,192.28
2020-01-19,892.45,US,621.26,191.34,116.18,253.62
2020-01-20,673.05,US,430.7,154.57,96.5,238.74
2020-01-21,584.76,US,372.1,131.64,109.48,234.98
2020-01-22,738.68,US,393.69,151.82,102.91,226.56
2020-01-23,667.43,US,414.08,131.98,90.94,196.6
2020-01-24,756.96,US,503,105.81,113.24,232.37
2020-01-25,1157.75,US,707.7,127.2,104.86,228.31
2020-01-26,1014.46,US,708.78,205.76,101.58,213.77
2020-01-27,851.88,US,459.98,206.68,109.67,233.44
2020-01-28,916.44,US,490.28,232.17,94.45,241.35
2020-01-29,1856.66,US,904.31,284.28,92.5,243.39
2020-01-30,1783.11,US,919.7,295.97,83.75,225.09
2020-01-31,1648.96,US,999.17,239.09,95.08,273.13
2020-02-01,1966.61,US,1043.63,318.58,89,323.36
2020-02-02,2330.49,US,1160.61,439.67,103.34,359.79
2020-02-03,1601.62,US,963.25,381.41,97.9,335.4
2020-02-04,1604.24,US,897.49,458.23,108.77,400.36
2020-02-05,1735.05,US,965.95,624.24,104.9,625.16
2020-02-06,1510.06,US,879.07,629.96,102.02,594.8
