date,revenue,fitted_revenue
2020-01-01,1481.15,1772.23
2020-01-02,1229.79,1171.18
2020-01-03,603.35,790.24
2020-01-04,1006.44,1018.01
2020-01-05,902.01,978.89
2020-01-06,577.37,649.02
2020-01-07,598.65,696.64
2020-01-08,582.57,812.03
2020-01-09,515.87,683.64
2020-01-10,797.8,1145.96
2020-01-11,1395.06,1513.85
2020-01-12,1389.27,1513.61
2020-01-13,879.91,1010.8
2020-01-14,588.23,770.23
2020-01-15,588.69,788.61
2020-01-16,401.76,696.82
2020-01-17,534.57,790.02
2020-01-18,701.71,1007.32
2020-01-19,892.45,1181.08
2020-01-20,673.05,720.36
2020-01-21,584.76,701.33
2020-01-22,738.68,783.93
2020-01-23,667.43,802.51
2020-01-24,756.96,989.78
2020-01-25,1157.75,1218.38
2020-01-26,1014.46,1256.41
2020-01-27,851.88,888.06
2020-01-28,916.44,852.24
2020-01-29,1856.66,1495.66
2020-01-30,1783.11,1525.33
2020-01-31,1648.96,1699.94
2020-02-01,1966.61,1733.2
2020-02-02,2330.49,1957.49
2020-02-03,1601.62,1650.79
2020-02-04,1604.24,1509.67
2020-02-05,1735.05,1714.82
2020-02-06,1510.06,1606.29
2020-02-07,1394.97,1605.84
2020-02-08,1813.04,1919.02
2020-02-09,1512.26,1710.55
2020-02-10,1236.69,1282.75
2020-02-11,1320.78,1509.97
2020-02-12,1037.25,1065.63
2020-02-13,822.71,1011.52
2020-02-14,1343.12,1258.8
2020-02-15,1246.12,1584.51
2020-02-16,1143.68,1198.22
2020-02-17,753.66,752.93
2020-02-18,808.42,832.62
2020-02-19,784.17,858.86
2020-02-20,863.29,851.73
2020-02-21,671.04,882.09
2020-02-22,878.0,804.63
2020-02-23,923.93,837.0
2020-02-24,697.69,733.62
2020-02-25,692.32,668.86
2020-02-26,941.54,849.21
2020-02-27,699.6,918.25
2020-02-28,889.59,735.12
2020-02-29,1325.39,765.52
2020-03-01,1078.25,802.11
2020-03-02,839.59,763.22
2020-03-03,637.69,594.84
2020-03-04,595.54,654.85
2020-03-05,749.24,674.75
